Event ID,Crossed MODULE ID,Detector Type
195611,35,cylinder
195612,35,cylinder
195613,26,cylinder
195614,33,cylinder
195615,19,cylinder
195615,362,planar_left
195616,64,cylinder
195617,27,cylinder
195618,41,cylinder
195619,65,cylinder
195620,27,cylinder
195621,26,cylinder
195622,59,cylinder
195623,26,cylinder
195624,57,cylinder
195625,75,cylinder
195625,106,planar_right
195626,56,cylinder
195627,24,cylinder
195628,72,cylinder
195628,344,planar_right
195629,33,cylinder
195630,42,cylinder
195631,41,cylinder
195632,33,cylinder
195633,34,cylinder
195634,48,cylinder
195635,65,cylinder
195635,417,planar_left
195636,48,cylinder
195637,16,cylinder
195638,27,cylinder
195639,57,cylinder
195640,59,cylinder
195641,26,cylinder
195642,65,cylinder
195643,17,cylinder
195644,18,cylinder
195644,447,planar_left
195645,48,cylinder
195646,35,cylinder
195647,17,cylinder
195648,17,cylinder
195648,574,planar_left
195649,72,cylinder
195649,347,planar_right
195650,65,cylinder
195650,416,planar_left
195651,65,cylinder
195652,595,planar_left
195652,59,cylinder
195653,58,cylinder
195654,356,planar_left
195654,56,cylinder
195655,27,cylinder
195656,51,cylinder
195656,597,planar_left
195657,48,cylinder
195658,66,cylinder
195659,73,cylinder
195659,303,planar_right
195660,16,cylinder
195660,98,planar_right
195661,595,planar_left
195661,43,cylinder
195662,50,cylinder
195663,16,cylinder
195663,601,planar_left
195664,33,cylinder
195665,27,cylinder
195666,35,cylinder
195666,599,planar_left
195667,51,cylinder
195667,339,planar_right
195668,73,cylinder
195669,50,cylinder
195670,75,cylinder
195671,72,cylinder
195671,333,planar_right
195672,35,cylinder
195673,33,cylinder
195674,322,planar_right
195674,35,cylinder
195675,43,cylinder
195676,386,planar_left
195676,25,cylinder
195677,48,cylinder
195678,40,cylinder
195679,73,cylinder
195679,286,planar_right
195679,417,planar_left
195680,67,cylinder
195681,33,cylinder
195682,26,cylinder
195683,34,cylinder
195684,35,cylinder
195685,57,cylinder
195686,25,cylinder
195687,27,cylinder
195688,34,cylinder
195689,26,cylinder
195690,97,planar_right
195690,56,cylinder
195691,43,cylinder
195692,32,cylinder
195693,74,cylinder
195693,207,planar_right
195694,64,cylinder
195695,50,cylinder
195696,48,cylinder
195697,26,cylinder
195698,343,planar_right
195698,35,cylinder
195699,67,cylinder
195700,33,cylinder
195701,56,cylinder
195702,16,cylinder
195703,50,cylinder
195704,41,cylinder
195705,66,cylinder
195706,67,cylinder
195707,26,cylinder
195708,59,cylinder
195709,50,cylinder
195710,73,cylinder
195711,65,cylinder
195712,49,cylinder
195713,66,cylinder
195714,40,cylinder
195715,580,planar_left
195715,27,cylinder
195716,25,cylinder
195716,368,planar_left
195717,49,cylinder
195718,18,cylinder
195718,383,planar_left
195719,33,cylinder
195720,50,cylinder
195721,19,cylinder
195722,116,planar_right
195722,48,cylinder
195723,577,planar_left
195723,27,cylinder
195723,367,planar_left
195724,34,cylinder
195725,26,cylinder
195726,19,cylinder
195726,378,planar_left
195727,42,cylinder
195728,24,cylinder
195729,43,cylinder
195729,597,planar_left
195730,75,cylinder
195730,125,planar_right
195730,594,planar_left
195731,73,cylinder
195731,287,planar_right
195732,25,cylinder
195733,64,cylinder
195733,356,planar_left
195734,50,cylinder
195735,57,cylinder
195735,416,planar_left
195736,50,cylinder
195737,385,planar_left
195737,73,cylinder
195737,318,planar_right
195738,26,cylinder
195739,34,cylinder
195740,67,cylinder
195741,64,cylinder
195742,41,cylinder
195743,65,cylinder
195744,73,cylinder
195744,302,planar_right
195744,145,planar_right
195745,19,cylinder
195746,26,cylinder
195746,529,planar_left
195747,24,cylinder
195747,115,planar_right
195748,40,cylinder
195749,75,cylinder
195749,108,planar_right
195750,48,cylinder
195751,50,cylinder
195752,73,cylinder
195753,41,cylinder
195754,40,cylinder
195755,67,cylinder
195756,66,cylinder
195757,42,cylinder
195758,18,cylinder
195758,431,planar_left
195759,19,cylinder
195760,27,cylinder
195761,64,cylinder
195762,72,cylinder
195762,344,planar_right
195763,72,cylinder
195763,332,planar_right
195764,34,cylinder
195765,73,cylinder
195765,318,planar_right
195765,368,planar_left
195766,33,cylinder
195767,58,cylinder
195768,51,cylinder
195769,26,cylinder
195770,64,cylinder
195770,98,planar_right
195771,51,cylinder
195772,49,cylinder
195773,67,cylinder
195774,33,cylinder
195775,49,cylinder
195776,51,cylinder
